100208	2011-08-31	4 2 1					4								2									1									7	1:2
100209	2011-09-01	1 9 4		1																		9					4						14	2:1
100210	2011-09-02	5 2 5						5							2													5					12	2:1
100211	2011-09-03	4 3 7					4									3														7			14	2:1
100212	2011-09-05	7 6 4								7									6								4						17	1:2
100213	2011-09-06	0 0 1	0										0											1									1	1:2
100214	2011-09-07	1 6 6		1															6										6				13	1:2
100215	2011-09-08	5 1 9						5						1																		9	15	3:0
100216	2011-09-09	1 0 1		1									0											1									2	2:1
100217	2011-09-10	8 0 6									8		0																6				14	0:3
100218	2011-09-12	3 6 6				3													6										6				15	1:2
100219	2011-09-13	2 3 0			2											3							0										5	1:2
100220	2011-09-14	0 3 5	0													3												5					8	2:1
100221	2011-09-15	1 8 5		1																	8							5					14	2:1
100222	2011-09-16	4 1 7					4							1																7			12	2:1
100223	2011-09-17	7 8 9								7											8											9	24	2:1
100224	2011-09-19	8 6 3									8								6							3							17	1:2
100225	2011-09-20	6 2 1							6						2									1									9	1:2
100226	2011-09-21	4 7 1					4													7				1									12	2:1
100227	2011-09-22	4 9 2					4															9			2								15	1:2
100228	2011-09-23	1 8 4		1																	8						4						13	1:2
100229	2011-09-24	5 3 7						5								3														7			15	3:0
100230	2011-09-26	5 7 8						5												7											8		20	2:1
100231	2011-09-27	2 5 4			2													5									4						11	1:2
100232	2011-09-28	9 1 8										9		1																	8		18	2:1
100233	2011-09-29	2 5 0			2													5					0										7	1:2
100234	2011-09-30	9 6 5										9							6									5					20	2:1
100235	2011-10-01	6 5 6							6									5											6				17	1:2
100236	2011-10-03	7 6 9								7									6													9	22	2:1
100237	2011-10-04	5 5 0						5										5					0										10	2:1
100238	2011-10-05	2 0 1			2								0											1									3	1:2
100239	2011-10-06	1 5 0		1														5					0										6	2:1
100240	2011-10-07	6 0 8							6				0																		8		14	0:3
100241	2011-10-08	6 9 0							6													9	0										15	1:2
100242	2011-10-10	0 7 1	0																	7				1									8	2:1
100243	2011-10-11	1 3 9		1												3																9	13	3:0
100244	2011-10-12	6 1 0							6					1									0										7	1:2
100245	2011-10-13	9 3 0										9				3							0										12	2:1
100246	2011-10-14	7 0 8								7			0																		8		15	1:2
100247	2011-10-15	6 9 3							6													9				3							18	2:1
100248	2011-10-17	3 1 4				3								1													4						8	2:1
100249	2011-10-18	5 9 4						5														9					4						18	2:1
100250	2011-10-19	5 6 3						5											6							3							14	2:1
100251	2011-10-20	8 0 0									8		0										0										8	0:3
100252	2011-10-21	4 1 3					4							1												3							8	2:1
100253	2011-10-22	7 9 7								7												9								7			23	3:0
100254	2011-10-24	0 2 4	0												2												4						6	0:3
100255	2011-10-25	4 1 0					4							1									0										5	1:2
100256	2011-10-26	4 4 0					4										4						0										8	0:3
100257	2011-10-27	2 2 7			2										2															7			11	1:2
100258	2011-10-28	9 3 0										9				3							0										12	2:1
100259	2011-10-29	4 7 3					4													7						3							14	2:1
100260	2011-10-31	3 6 7				3													6											7			16	2:1
100261	2011-11-01	6 3 3							6							3										3							12	2:1
100262	2011-11-02	0 7 0	0																	7			0										7	1:2
100263	2011-11-03	6 0 5							6				0															5					11	1:2
100264	2011-11-04	3 5 2				3												5							2								10	2:1
100265	2011-11-05	7 4 0								7							4						0										11	1:2
100266	2011-11-07	3 8 1				3															8			1									12	2:1
100267	2011-11-08	6 2 6							6						2														6				14	0:3
100268	2011-11-09	8 6 4									8								6								4						18	0:3
100269	2011-11-10	6 4 5							6								4											5					15	1:2
100270	2011-11-11	4 2 6					4								2														6				12	0:3
100271	2011-11-12	1 4 6		1													4												6				11	1:2
100272	2011-11-14	1 3 1		1												3								1									5	3:0
100273	2011-11-15	6 8 8							6												8										8		22	0:3
100274	2011-11-16	6 8 7							6												8									7			21	1:2
100275	2011-11-17	1 8 9		1																	8											9	18	2:1
100276	2011-11-18	4 4 9					4										4															9	17	1:2
100277	2011-11-19	2 2 1			2										2									1									5	1:2
100278	2011-11-21	7 7 7								7										7										7			21	3:0
100279	2011-11-22	4 1 8					4							1																	8		13	1:2
100280	2011-11-23	7 4 0								7							4						0										11	1:2
100281	2011-11-24	2 4 8			2												4														8		14	0:3
100282	2011-11-25	1 0 1		1									0											1									2	2:1
100283	2011-11-26	2 4 6			2												4												6				12	0:3
